,source,target,value
0,Italy,Russia,6
1,Germany,Russia,30
2,Bulgaria,Germany,6
3,Bulgaria,Russia,6
4,Germany,Italy,27
5,Austria,Germany,12
6,France,Germany,27
7,France,Poland,12
8,Germany,Poland,30
9,Estonia,Germany,6
10,Estonia,Latvia,6
11,Latvia,Lithuania,6
12,Finland,Lithuania,6
13,Finland,Germany,5
14,Netherlands,Poland,6
15,Luxembourg,Netherlands,6
16,Belgium,Luxembourg,5
17,Belgium,Denmark,6
18,Denmark,Norway,12
19,Denmark,Germany,6
20,France,Italy,13
21,Germany,Greece,7
22,Albania,Greece,12
23,Greece,Ukraine,6
24,Belarus,Ukraine,6
25,Belarus,Libya,6
26,Egypt,Libya,6
27,Egypt,Iraq,6
28,Iraq,Japan,4
29,Germany,Japan,28
30,Japan,Russia,21
31,Germany,Morocco,6
32,Algeria,Morocco,6
33,Algeria,Italy,5
34,Japan,Thailand,11
35,Japan,Philippines,15
36,Japan,Solomon Islands,8
37,India,Japan,12
38,Japan,Poland,2
39,France,Russia,6
40,France,India,6
41,India,Pakistan,18
42,Israel,Pakistan,6
43,Israel,Libya,6
44,Iran,Libya,6
45,France,Iran,5
46,France,Japan,6
47,Pakistan,Philippines,12
48,Laos,Philippines,6
49,Cambodia,Laos,6
50,Cambodia,Kenya,5
51,Ghana,Kenya,6
52,Ghana,Seychelles,6
53,Finland,Latvia,6
54,Finland,Romania,6
55,Albania,Romania,5
56,Albania,Bulgaria,6
57,Bulgaria,Poland,6
58,Poland,Romania,6
59,Hungary,Romania,6
60,Hungary,Mongolia,5
61,Cuba,Mongolia,6
62,Australia,Cuba,2
63,Australia,Vietnam,4
64,Cambodia,Vietnam,10
65,United States,Vietnam,4
66,Russia,United States,2
67,France,Norway,5
68,Greece,Italy,6
69,Germany,Iran,5
70,Germany,India,4
71,Romania,Russia,6
72,Russia,Vietnam,1
73,India,Lebanon,5
